__ZNKSt10bad_typeid4whatEv                         -> std::bad_typeid::what() const
__ZNKSt11logic_error4whatEv                        -> std::logic_error::what() const
__ZNKSt13bad_exception4whatEv                      -> std::bad_exception::what() const
__ZNKSt13runtime_error4whatEv                      -> std::runtime_error::what() const
__ZNKSt20bad_array_new_length4whatEv               -> std::bad_array_new_length::what() const
__ZNKSt8bad_cast4whatEv                            -> std::bad_cast::what() const
__ZNKSt9bad_alloc4whatEv                           -> std::bad_alloc::what() const
__ZNKSt9exception4whatEv                           -> std::exception::what() const
__ZNSt10bad_typeidC1Ev                             -> std::bad_typeid::bad_typeid()
__ZNSt10bad_typeidC2Ev                             -> std::bad_typeid::bad_typeid()
__ZNSt10bad_typeidD0Ev                             -> std::bad_typeid::~bad_typeid()
__ZNSt10bad_typeidD1Ev                             -> std::bad_typeid::~bad_typeid()
__ZNSt10bad_typeidD2Ev                             -> std::bad_typeid::~bad_typeid()
__ZNSt11logic_errorD0Ev                            -> std::logic_error::~logic_error()
__ZNSt11logic_errorD1Ev                            -> std::logic_error::~logic_error()
__ZNSt11logic_errorD2Ev                            -> std::logic_error::~logic_error()
__ZNSt11range_errorD0Ev                            -> std::range_error::~range_error()
__ZNSt11range_errorD1Ev                            -> std::range_error::~range_error()
__ZNSt11range_errorD2Ev                            -> std::range_error::~range_error()
__ZNSt12domain_errorD0Ev                           -> std::domain_error::~domain_error()
__ZNSt12domain_errorD1Ev                           -> std::domain_error::~domain_error()
__ZNSt12domain_errorD2Ev                           -> std::domain_error::~domain_error()
__ZNSt12length_errorD0Ev                           -> std::length_error::~length_error()
__ZNSt12length_errorD1Ev                           -> std::length_error::~length_error()
__ZNSt12length_errorD2Ev                           -> std::length_error::~length_error()
__ZNSt12out_of_rangeD0Ev                           -> std::out_of_range::~out_of_range()
__ZNSt12out_of_rangeD1Ev                           -> std::out_of_range::~out_of_range()
__ZNSt12out_of_rangeD2Ev                           -> std::out_of_range::~out_of_range()
__ZNSt13bad_exceptionD0Ev                          -> std::bad_exception::~bad_exception()
__ZNSt13bad_exceptionD1Ev                          -> std::bad_exception::~bad_exception()
__ZNSt13bad_exceptionD2Ev                          -> std::bad_exception::~bad_exception()
__ZNSt13runtime_errorD0Ev                          -> std::runtime_error::~runtime_error()
__ZNSt13runtime_errorD1Ev                          -> std::runtime_error::~runtime_error()
__ZNSt13runtime_errorD2Ev                          -> std::runtime_error::~runtime_error()
__ZNSt14overflow_errorD0Ev                         -> std::overflow_error::~overflow_error()
__ZNSt14overflow_errorD1Ev                         -> std::overflow_error::~overflow_error()
__ZNSt14overflow_errorD2Ev                         -> std::overflow_error::~overflow_error()
__ZNSt15underflow_errorD0Ev                        -> std::underflow_error::~underflow_error()
__ZNSt15underflow_errorD1Ev                        -> std::underflow_error::~underflow_error()
__ZNSt15underflow_errorD2Ev                        -> std::underflow_error::~underflow_error()
